Date_ID,Date,Year,Month,Time
1,2023-09-18,2023,September,22:03:55
2,2023-12-31,2023,December,08:42:04
3,2023-04-26,2023,April,04:06:29
4,2023-05-08,2023,May,14:55:17
5,2024-01-10,2024,January,16:54:07
6,2023-09-21,2023,September,23:24:27
7,2023-06-26,2023,June,13:35:51
8,2023-03-24,2023,March,10:12:56
9,2024-01-06,2024,January,14:38:26
10,2023-10-04,2023,October,22:27:40
11,2023-07-20,2023,July,23:06:51
12,2023-06-21,2023,June,13:09:58
13,2024-01-02,2024,January,00:00:47
14,2023-05-07,2023,May,18:49:35
15,2023-11-18,2023,November,23:41:05
16,2023-06-15,2023,June,23:24:22
17,2023-07-01,2023,July,11:12:02
18,2023-04-14,2023,April,05:50:55
19,2024-02-07,2024,February,18:29:59
20,2023-10-24,2023,October,13:01:04
21,2023-03-21,2023,March,11:51:41
22,2023-08-06,2023,August,05:13:31
23,2024-02-03,2024,February,06:22:00
24,2023-05-31,2023,May,09:15:44
25,2024-02-27,2024,February,13:51:11
26,2023-04-20,2023,April,04:45:57
27,2023-06-03,2023,June,04:57:04
28,2024-01-07,2024,January,17:33:45
29,2023-04-22,2023,April,09:17:29
30,2023-06-21,2023,June,16:42:37
31,2024-02-06,2024,February,01:59:20
32,2023-11-26,2023,November,06:43:16
33,2023-05-22,2023,May,11:24:20
34,2023-06-29,2023,June,11:35:43
35,2023-12-16,2023,December,04:00:08
36,2023-04-10,2023,April,06:50:20
37,2023-12-12,2023,December,17:48:31
38,2024-02-16,2024,February,20:44:42
39,2024-02-08,2024,February,12:07:52
40,2023-10-29,2023,October,13:43:05
41,2024-02-21,2024,February,22:28:09
42,2023-03-17,2023,March,08:03:15
43,2023-10-06,2023,October,04:59:02
44,2023-11-05,2023,November,17:38:05
45,2023-12-14,2023,December,20:24:39
46,2023-06-19,2023,June,11:40:40
47,2023-03-16,2023,March,01:42:10
48,2023-07-16,2023,July,17:20:37
49,2023-04-19,2023,April,02:13:39
50,2023-09-10,2023,September,19:22:43
51,2023-03-15,2023,March,01:07:58
52,2023-11-11,2023,November,15:38:31
53,2023-07-25,2023,July,20:29:30
54,2023-10-03,2023,October,04:34:26
55,2023-10-17,2023,October,06:40:06
56,2023-06-27,2023,June,11:30:53
57,2023-11-26,2023,November,16:09:33
58,2024-02-18,2024,February,11:46:09
59,2024-02-22,2024,February,19:13:49
60,2023-10-08,2023,October,05:45:56
61,2023-10-11,2023,October,07:56:37
62,2023-09-17,2023,September,01:25:11
63,2023-11-04,2023,November,14:44:24
64,2023-06-20,2023,June,00:17:23
65,2023-08-31,2023,August,00:34:27
66,2024-02-20,2024,February,07:34:49
67,2023-03-12,2023,March,08:31:15
68,2023-07-23,2023,July,19:14:52
69,2023-12-12,2023,December,03:55:19
70,2023-05-06,2023,May,03:42:45
71,2023-11-14,2023,November,18:12:57
72,2024-02-06,2024,February,05:31:02
73,2023-06-06,2023,June,08:43:39
74,2023-03-23,2023,March,11:59:32
75,2023-04-08,2023,April,09:21:09
76,2023-11-23,2023,November,22:16:03
77,2023-08-18,2023,August,01:30:01
78,2023-10-30,2023,October,18:07:26
79,2023-03-04,2023,March,08:10:02
80,2024-01-13,2024,January,16:41:07
81,2023-07-22,2023,July,10:36:45
82,2023-07-19,2023,July,09:22:55
83,2023-03-02,2023,March,00:04:24
84,2023-12-06,2023,December,11:08:06
85,2023-11-13,2023,November,01:04:00
86,2023-09-03,2023,September,11:03:16
87,2023-11-01,2023,November,02:09:59
88,2023-04-04,2023,April,11:34:09
89,2023-03-22,2023,March,05:44:33
90,2023-12-07,2023,December,06:27:17
91,2024-01-26,2024,January,17:05:34
92,2023-06-28,2023,June,08:35:41
93,2023-12-07,2023,December,21:09:35
94,2023-04-19,2023,April,22:26:07
95,2023-03-05,2023,March,17:10:46
96,2023-12-21,2023,December,00:41:21
97,2023-08-25,2023,August,19:46:47
98,2023-03-08,2023,March,21:43:17
99,2023-05-16,2023,May,19:39:12
100,2023-11-08,nan,November,17:08:17
101,2023-12-17,2023,December,21:32:32
102,2024-02-20,2024,February,03:39:48
103,2023-11-16,2023,November,15:29:46
104,2023-07-03,2023,July,14:22:41
105,2024-01-25,2024,January,17:48:38
106,2023-07-10,2023,July,16:49:22
107,2023-07-25,2023,July,17:53:48
108,2023-12-12,2023,December,16:21:55
109,2023-08-30,2023,August,19:19:22
110,2023-06-24,2023,June,01:17:23
111,2024-01-14,2024,January,21:18:43
112,2024-02-05,2024,February,07:38:28
113,2023-12-20,2023,December,08:57:11
114,2023-08-23,2023,August,01:40:26
115,2024-02-06,2024,February,10:56:31
116,2024-02-02,2024,February,04:39:39
117,2023-03-04,2023,March,17:34:14
118,2024-02-23,2024,February,03:19:09
119,2024-01-17,2024,January,11:14:33
120,2024-02-05,2024,February,01:35:20
121,2023-09-05,2023,September,13:53:22
122,2023-03-19,2023,March,22:48:31
123,2023-06-15,2023,June,09:22:20
124,2023-03-05,2023,March,07:54:44
125,2024-01-06,2024,January,09:43:31
126,2023-12-15,2023,December,03:26:33
127,2023-10-30,2023,October,02:34:45
128,2023-09-08,2023,September,07:19:22
129,2023-09-11,2023,September,13:27:52
130,2023-11-15,2023,November,00:50:35
131,2023-12-19,2023,December,13:09:49
132,2023-03-13,2023,March,04:32:41
133,2023-11-28,2023,November,19:22:50
134,2023-12-02,2023,December,00:36:31
135,2023-09-14,2023,September,11:06:34
136,2023-07-15,2023,July,15:45:14
137,2023-09-17,2023,September,03:11:02
138,2024-01-08,2024,January,05:12:33
139,2023-09-01,2023,September,10:18:10
140,2023-03-28,2023,March,11:29:19
141,2024-02-26,2024,February,02:31:09
142,2023-08-24,2023,August,03:43:33
143,2023-09-12,2023,September,18:24:39
144,2023-12-13,2023,December,18:26:04
145,2023-08-07,2023,August,18:53:55
146,2023-06-10,2023,June,11:15:56
147,2023-05-05,2023,May,21:19:36
148,2023-09-06,2023,September,15:02:23
149,2024-01-29,2024,January,02:18:17
150,2023-10-14,2023,October,08:02:34
151,2023-06-06,2023,June,09:03:24
152,2023-05-30,2023,May,21:07:29
153,2023-05-31,2023,May,10:40:30
154,2023-08-14,2023,August,14:21:40
155,2023-05-17,2023,May,18:20:46
156,2023-12-14,2023,December,04:50:51
157,2023-03-27,2023,March,12:02:58
158,2023-07-13,2023,July,12:00:21
159,2024-02-25,2024,February,23:22:49
160,2023-03-04,2023,March,20:54:01
161,2023-11-18,2023,November,15:27:07
162,2023-06-02,2023,June,07:48:59
163,2024-01-12,2024,January,23:42:17
164,2024-02-17,2024,February,00:04:20
165,2023-05-14,2023,May,23:02:26
166,2023-11-25,2023,November,19:11:56
167,2023-05-05,2023,May,23:10:13
168,2023-09-23,2023,September,16:15:39
169,2023-07-08,2023,July,07:45:03
170,2023-06-12,2023,June,01:13:57
171,2023-12-28,2023,December,20:45:47
172,2023-06-23,2023,June,05:04:09
173,2023-05-08,2023,May,07:50:36
174,2024-02-10,2024,February,10:39:20
175,2023-07-23,2023,July,20:46:04
176,2023-03-22,2023,March,17:30:34
177,2023-12-15,2023,December,10:51:36
178,2023-09-03,2023,September,17:49:30
179,2023-05-25,2023,May,18:37:05
180,2023-05-06,2023,May,04:49:27
181,2023-04-01,2023,April,06:07:27
182,2023-06-12,2023,June,15:16:10
183,2024-02-07,2024,February,19:32:11
184,2023-10-27,2023,October,02:52:36
185,2023-09-06,2023,September,12:16:56
186,2023-10-05,2023,October,15:08:59
187,2023-04-03,2023,April,08:44:58
188,2023-12-29,2023,December,10:15:15
189,2023-07-29,2023,July,05:14:04
190,2024-01-11,2024,January,20:44:08
191,2023-06-15,2023,June,11:58:26
192,2023-11-26,2023,November,02:13:03
193,2023-12-31,2023,December,05:08:43
194,2023-10-03,2023,October,18:38:10
195,2023-08-27,2023,August,02:08:50
196,2024-02-24,2024,February,20:46:56
197,2023-08-04,2023,August,11:50:08
198,2023-10-14,2023,October,10:47:45
199,2023-11-30,2023,November,05:52:07
200,2023-12-27,2023,December,21:46:09
201,2023-06-17,2023,June,15:05:07
202,2024-02-29,2024,February,14:45:20
203,2023-03-14,2023,March,09:46:45
204,2023-07-10,2023,July,08:24:39
205,2023-06-15,2023,June,21:20:18
206,2023-09-15,2023,September,03:26:44
207,2023-08-28,2023,August,08:38:11
208,2023-08-01,2023,August,17:47:22
209,2023-05-07,2023,May,09:48:08
210,2023-12-23,2023,December,03:55:04
211,2023-03-19,2023,March,21:29:33
212,2023-06-03,2023,June,17:24:08
213,2023-12-03,2023,December,11:57:38
214,2023-09-20,2023,September,06:56:09
215,2023-05-26,2023,May,14:51:54
216,2024-01-29,2024,January,21:47:09
217,2023-11-22,2023,November,01:41:40
218,2023-08-12,2023,August,01:08:45
219,2023-08-06,2023,August,17:20:06
220,2023-08-12,2023,August,14:41:48
221,2023-08-05,2023,August,21:50:30
222,2024-01-06,2024,January,06:04:38
223,2023-08-15,2023,August,01:01:12
224,2023-12-18,2023,December,01:39:22
225,2023-05-04,2023,May,05:32:14
226,2023-03-28,2023,March,23:40:29
227,2023-03-22,2023,March,04:39:44
228,2023-07-02,2023,July,20:58:06
229,2023-08-29,2023,August,23:07:32
230,2024-02-29,2024,February,17:35:10
231,2023-12-30,2023,December,23:30:30
232,2023-10-26,2023,October,16:19:46
233,2024-01-09,2024,January,08:44:51
234,2023-10-14,2023,October,06:04:24
235,2024-02-02,2024,February,16:29:46
236,2023-12-15,2023,December,22:27:58
237,2023-07-11,2023,July,05:23:04
238,2023-07-29,2023,July,22:43:15
239,2023-04-18,2023,April,13:36:56
240,2023-04-25,2023,April,05:00:39
241,2023-03-21,2023,March,17:32:40
242,2023-12-11,2023,December,00:31:54
243,2023-07-15,2023,July,12:14:27
244,2023-08-09,2023,August,10:51:46
245,2023-09-09,2023,September,20:51:34
246,2023-09-20,2023,September,04:26:39
247,2023-08-05,2023,August,06:57:39
248,2023-10-13,2023,October,10:55:01
249,2023-09-30,2023,September,12:12:11
250,2023-06-03,2023,June,21:21:52
251,2024-02-19,2024,February,12:52:34
252,2023-05-19,2023,May,02:15:36
253,2023-10-06,2023,October,09:14:43
254,2023-12-02,2023,December,14:30:44
255,2023-09-23,2023,September,11:32:07
256,2023-08-25,2023,August,17:08:50
257,2023-07-28,2023,July,03:30:41
258,2024-02-12,2024,February,09:48:33
259,2024-02-27,2024,February,16:27:33
260,2023-06-09,2023,June,09:51:14
261,2023-03-23,2023,March,17:44:29
262,2023-03-27,2023,March,20:06:56
263,2023-03-16,2023,March,13:26:29
264,2023-11-22,2023,November,09:16:02
265,2023-11-19,2023,November,05:01:04
266,2023-03-26,2023,March,03:30:46
267,2024-02-15,2024,February,01:01:23
268,2023-09-02,2023,September,19:52:19
269,2023-09-15,2023,September,23:49:36
270,2023-08-02,2023,August,15:20:17
271,2023-09-30,2023,September,04:34:05
272,2023-06-03,2023,June,17:46:26
273,2024-02-15,2024,February,11:30:55
274,2023-03-03,2023,March,00:32:01
275,2023-08-13,2023,August,08:59:38
276,2023-03-11,2023,March,21:54:08
277,2023-12-08,2023,December,17:44:32
278,2023-04-08,2023,April,08:51:04
279,2023-12-23,2023,December,20:58:44
280,2023-07-11,2023,July,17:50:56
281,2023-05-19,2023,May,01:22:11
282,2023-03-30,2023,March,08:26:50
283,2024-02-15,2024,February,21:17:50
284,2023-05-10,2023,May,11:09:48
285,2023-06-28,2023,June,19:58:32
286,2023-09-18,2023,September,11:42:14
287,2023-09-07,2023,September,13:29:37
288,2023-06-04,2023,June,04:08:06
289,2023-07-17,2023,July,06:44:28
290,2023-09-02,2023,September,08:01:58
291,2024-01-31,2024,January,12:05:55
292,2023-08-27,2023,August,09:55:09
293,2023-09-07,2023,September,21:55:22
294,2023-11-09,2023,November,01:21:37
295,2023-06-10,2023,June,22:07:48
296,2023-12-15,2023,December,06:22:48
297,2023-07-18,2023,July,20:55:25
298,2023-03-15,2023,March,06:59:07
299,2023-04-18,2023,April,01:59:40
300,2023-12-14,2023,December,12:31:33
301,2023-03-08,2023,March,19:19:34
302,2024-01-20,2024,January,16:08:15
303,2023-11-06,2023,November,10:46:21
304,2023-12-06,2023,December,09:09:56
305,2023-06-26,2023,June,19:44:35
306,2023-12-05,2023,December,20:44:01
307,2023-10-18,2023,October,23:50:56
308,2023-05-15,2023,May,01:33:21
309,2023-04-03,2023,April,12:16:17
310,2023-12-03,2023,December,20:31:58
311,2023-03-26,2023,March,05:47:53
312,2024-02-28,2024,February,19:39:49
313,2023-06-21,2023,June,15:21:23
314,2024-01-07,2024,January,16:58:22
315,2024-02-06,2024,February,05:10:44
316,2023-10-31,2023,October,17:54:34
317,2024-02-17,2024,February,04:40:08
318,2023-10-02,2023,October,12:36:40
319,2023-03-29,2023,March,14:28:00
320,2023-03-18,2023,March,13:50:22
321,2023-04-29,2023,April,04:37:18
322,2023-06-26,2023,June,23:36:04
323,2023-09-24,2023,September,03:29:17
324,2023-04-27,2023,April,16:13:45
325,2023-07-28,2023,July,16:23:46
326,2023-08-25,2023,August,05:11:43
327,2023-03-12,2023,March,06:43:11
328,2023-03-15,2023,March,16:09:17
329,2023-05-13,2023,May,11:37:12
330,2023-04-23,2023,April,22:16:55
331,2023-08-30,2023,August,10:24:11
332,2023-07-19,2023,July,02:58:18
333,2023-11-30,2023,November,15:09:28
334,2023-11-16,2023,November,22:09:31
335,2023-11-23,2023,November,01:08:27
336,2023-10-20,2023,October,19:54:59
337,2023-09-01,2023,September,14:24:34
338,2023-03-10,2023,March,21:55:26
339,2023-11-30,2023,November,14:23:17
340,2023-09-03,2023,September,07:34:57
341,2024-02-08,2024,February,11:00:53
342,2023-11-27,2023,November,16:44:55
343,2023-04-04,2023,April,14:44:37
344,2024-01-25,2024,January,12:32:04
345,2023-11-11,2023,November,05:17:11
346,2023-12-08,2023,December,05:26:07
347,2023-12-14,2023,December,01:56:20
348,2023-04-16,2023,April,10:40:30
349,2023-08-10,2023,August,23:17:34
350,2024-01-30,2024,January,19:39:08
351,2023-06-22,2023,June,02:51:06
352,2023-05-19,2023,May,01:38:50
353,2023-09-01,2023,September,05:53:15
354,2023-09-13,2023,September,04:29:39
355,2024-01-03,2024,January,11:48:56
356,2023-08-11,2023,August,07:22:49
357,2023-03-15,2023,March,04:28:46
358,2023-07-22,2023,July,14:49:04
359,2024-02-26,2024,February,17:36:57
360,2023-12-26,2023,December,18:05:28
361,2024-01-31,2024,January,04:44:24
362,2023-12-13,2023,December,08:53:47
363,2023-12-04,2023,December,23:16:43
364,2023-09-24,2023,September,11:00:54
365,2023-04-18,2023,April,03:37:54
366,2023-03-27,2023,March,08:29:08
367,2023-04-27,2023,April,06:30:46
368,2024-02-12,2024,February,11:37:55
369,2023-03-04,2023,March,10:58:31
370,2023-09-22,2023,September,00:12:15
371,2023-09-03,2023,September,17:51:52
372,2024-01-26,2024,January,15:37:48
373,2024-01-26,2024,January,20:49:58
374,2023-03-10,2023,March,06:52:52
375,2024-01-26,2024,January,15:16:48
376,2023-08-15,2023,August,02:40:10
377,2023-12-05,2023,December,14:17:31
378,2023-06-18,2023,June,08:34:59
379,2023-03-11,2023,March,04:27:00
380,2023-05-28,2023,May,05:53:03
381,2023-09-01,2023,September,12:47:16
382,2023-09-21,2023,September,20:54:32
383,2023-12-12,2023,December,22:52:21
384,2023-10-14,2023,October,10:00:19
385,2023-11-07,2023,November,12:14:36
386,2023-12-19,2023,December,23:31:03
387,2023-04-06,2023,April,11:27:27
388,2023-05-08,2023,May,16:47:30
389,2023-03-08,2023,March,21:28:53
390,2024-02-29,2024,February,03:41:21
391,2023-05-09,2023,May,15:33:51
392,2023-03-11,2023,March,04:15:35
393,2024-02-01,2024,February,03:49:38
394,2023-05-03,2023,May,00:23:04
395,2023-03-21,2023,March,10:00:08
396,2023-12-05,2023,December,13:55:19
397,2023-11-04,2023,November,01:30:50
398,2023-09-10,2023,September,02:37:34
399,2024-02-09,2024,February,17:06:56
400,2023-05-13,2023,May,14:43:30
401,2023-04-20,2023,April,17:08:29
402,2023-04-11,2023,April,15:10:13
403,2023-12-03,2023,December,20:27:38
404,2023-09-21,2023,September,16:15:37
405,2023-05-18,2023,May,21:14:40
406,2023-04-18,2023,April,23:27:35
407,2023-09-25,2023,September,20:08:01
408,2023-07-23,2023,July,22:14:57
409,2023-05-23,2023,May,13:49:03
410,2023-07-31,2023,July,07:00:22
411,2023-09-20,2023,September,19:10:02
412,2023-09-15,2023,September,21:16:51
413,2023-10-25,2023,October,09:24:21
414,2023-03-03,2023,March,22:59:10
415,2023-03-15,2023,March,18:10:03
416,2023-07-09,2023,July,22:54:58
417,2023-04-04,2023,April,10:02:33
418,2024-02-11,2024,February,02:26:09
419,2024-02-15,2024,February,23:51:48
420,2023-03-08,2023,March,07:38:00
421,2023-07-29,2023,July,15:29:18
422,2023-03-30,2023,March,01:56:20
423,2023-08-30,2023,August,14:41:57
424,2023-11-20,2023,November,21:31:18
425,2023-09-23,2023,September,18:35:05
426,2023-07-12,2023,July,08:08:40
427,2023-03-21,2023,March,00:14:16
428,2024-01-21,2024,January,01:15:19
429,2023-03-12,2023,March,06:14:33
430,2023-06-07,2023,June,20:48:11
431,2023-11-17,2023,November,02:10:57
432,2023-05-23,2023,May,02:54:34
433,2023-10-08,2023,October,12:52:32
434,2023-05-13,2023,May,09:23:55
435,2024-02-04,2024,February,04:03:13
436,2023-11-06,2023,November,05:26:32
437,2023-03-14,2023,March,16:24:35
438,2023-07-14,2023,July,18:24:33
439,2024-01-03,2024,January,16:44:57
440,2023-09-27,2023,September,03:26:45
441,2023-07-02,2023,July,13:06:27
442,2023-08-06,2023,August,12:50:34
443,2023-06-17,2023,June,13:16:16
444,2023-03-20,2023,March,01:05:31
445,2023-09-24,2023,September,15:41:31
446,2024-01-31,2024,January,22:30:49
447,2023-11-20,2023,November,08:57:48
448,2023-06-13,2023,June,05:42:46
449,2023-03-08,2023,March,08:31:22
450,2023-04-07,2023,April,23:53:23
451,2023-10-21,2023,October,15:18:34
452,2023-07-09,2023,July,01:14:53
453,2023-09-12,2023,September,01:04:37
454,2024-01-05,2024,January,04:13:49
455,2023-07-13,2023,July,02:46:19
456,2023-03-04,2023,March,07:02:10
457,2023-05-09,2023,May,15:57:31
458,2023-08-02,2023,August,23:23:28
459,2023-12-10,2023,December,06:16:35
460,2023-07-12,2023,July,12:27:15
461,2023-09-06,2023,September,20:12:19
462,2023-03-13,2023,March,12:18:21
463,2023-09-11,2023,September,01:14:35
464,2023-05-31,2023,May,10:24:06
465,2023-11-16,2023,November,21:22:50
466,2024-02-05,2024,February,18:59:57
467,2023-10-18,2023,October,00:57:47
468,2023-11-14,2023,November,04:14:36
469,2023-05-12,2023,May,20:00:33
470,2023-09-17,2023,September,12:13:49
471,2024-01-15,2024,January,03:11:16
472,2023-06-19,2023,June,05:16:26
473,2023-09-08,2023,September,04:57:59
474,2023-08-04,2023,August,22:32:45
475,2023-05-09,2023,May,14:35:39
476,2023-09-15,2023,September,18:02:14
477,2024-01-31,2024,January,00:50:15
478,2023-07-16,2023,July,11:37:09
479,2024-02-10,2024,February,13:37:23
480,2023-03-23,2023,March,11:04:21
481,2023-07-23,2023,July,08:32:08
482,2023-10-10,2023,October,15:07:25
483,2023-03-07,2023,March,14:05:46
484,2023-06-02,2023,June,09:44:24
485,2023-11-26,2023,November,01:03:58
486,2023-09-09,2023,September,20:03:19
487,2023-10-27,2023,October,21:22:49
488,2023-09-04,2023,September,15:06:11
489,2023-12-23,2023,December,04:08:48
490,2023-06-20,2023,June,02:24:24
491,2023-05-24,2023,May,09:52:38
492,2023-08-19,2023,August,17:52:53
493,2023-05-20,2023,May,03:20:52
494,2023-07-04,2023,July,13:22:51
495,2023-05-06,2023,May,01:03:57
496,2023-03-05,2023,March,11:37:35
497,2023-05-29,2023,May,17:41:00
498,2023-05-31,2023,May,13:54:08
499,2023-11-30,2023,November,15:34:48
500,2023-03-27,2023,March,22:06:01
